location,date,smuggling_incident,weather_condition,geopolitical_event,terrain_type,poverty_rate,distance_to_checkpoint,population_density
Border B,2022-01-17 10:23:58,1,storm,conflict,water_body,20.710303027193028,30.61997355164683,319.6321572743544
Border D,2020-05-01 13:51:08,0,sunny,none,forest,37.10677281256183,19.77884704197513,541.3662226828637
Border A,2022-01-03 01:23:15,1,storm,sanctions,mountain,47.60120262638121,3.823846908195915,963.3100870596497
Border C,2020-12-10 02:10:24,0,fog,trade_dispute,forest,24.796979265011622,17.471272440998597,527.3600621040376
Border D,2022-11-27 15:37:01,0,storm,trade_dispute,forest,29.80589078541091,42.94410081391767,227.91504422033657
Border C,2021-09-22 14:44:06,0,storm,sanctions,muddy,26.929002792648483,13.152680240448738,556.7231969450929
Border B,2021-10-26 06:15:06,0,,sanctions,mountain,20.332036148185264,27.00631958476779,899.9396755481578
Border B,2022-04-08 05:33:53,1,clear,sanctions,flat,25.467279009686436,25.134927177105713,211.812431678132
Border B,2020-12-07 14:31:16,0,rain,none,forest,42.45105094153753,30.85312094404721,34.08501808900009
Border C,2021-11-07 01:11:59,0,fog,trade_dispute,muddy,15.06653707681655,4.358103084992138,754.6766496476075
Border B,2020-09-09 12:12:17,1,storm,none,forest,13.599933646126235,31.5478924742869,615.2693570248236
Border A,2020-02-06 12:39:07,1,rain,trade_dispute,muddy,7.69292743532145,15.367544064478999,144.37054279826708
Border B,2020-04-22 04:57:47,1,sunny,none,forest,29.6532824973646,5.534400995797627,25.486042999011012
Border B,2022-02-10 02:26:26,1,fog,conflict,mountain,7.5799061277466535,49.67213453428984,207.26086042480466
Border C,2022-07-26 13:09:04,1,clear,sanctions,muddy,5.202625863733524,9.025290155238725,108.38848689724416
Border A,2020-05-08 00:58:53,0,storm,sanctions,,48.994256592169805,23.045566814438963,318.28409602788224
Border D,2021-08-12 03:33:56,0,fog,trade_dispute,flat,24.344904552124234,17.584213375754363,418.07041953779725
Border B,2020-01-02 16:25:06,0,clear,none,muddy,7.069543268757833,12.583197710669335,616.3422923128281
Border B,2021-12-03 17:55:38,0,fog,conflict,forest,6.279083172815751,9.811114729977106,372.039384418407
Border D,2022-08-12 07:45:07,1,clear,conflict,flat,13.221375648320423,2.79178923931501,108.29423891600722
Border A,2022-07-01 12:00:03,1,storm,trade_dispute,flat,41.14597796055757,18.296009250458418,602.4593266619377
Border D,2022-05-10 23:39:59,0,fog,sanctions,flat,9.157014414353245,5.482001116443556,335.853378979571
Border D,2022-08-11 16:09:23,0,fog,trade_dispute,forest,18.003362406724055,28.31647722670182,572.9642695150097
Border B,2021-08-02 07:19:53,1,storm,sanctions,muddy,11.249285327674642,6.449113379879591,672.2050554970249
Border A,2021-05-24 10:41:56,0,rain,sanctions,muddy,48.57458933536056,21.34741937659489,399.37045410592657
Border A,2020-04-05 14:31:28,1,fog,trade_dispute,forest,33.35630237594569,38.52266413330372,199.1872134639516
Border C,2022-11-07 06:01:07,0,clear,trade_dispute,mountain,24.699055838913818,23.38753312426229,793.9079921453472
Border C,2021-07-13 00:02:20,0,sunny,none,muddy,10.019289718922622,33.904844018121686,73.68749060248554
Border B,2022-07-21 17:22:52,0,rain,trade_dispute,water_body,23.216503765000887,5.65598000225604,435.55110389972634
Border C,2020-04-17 09:12:28,0,sunny,conflict,flat,45.892101708268626,39.71145594445163,548.9429261195307
Border D,2022-07-26 17:36:50,0,fog,none,forest,15.787766872166314,24.250195696409776,467.35601191226857
Border B,2021-10-12 03:22:29,0,fog,trade_dispute,water_body,32.718566073150214,36.30392378971143,620.039229392953
Border D,2022-01-04 06:46:50,1,fog,sanctions,water_body,28.0987664832888,33.94126950917038,184.3693950134412
Border B,2021-05-07 20:11:06,1,fog,none,forest,27.285802797487754,38.18473352635257,712.9503671901097
Border D,2021-02-19 08:20:27,0,clear,sanctions,muddy,25.9203048041295,27.015313892230985,422.1077881239278
Border A,2021-03-10 18:31:16,0,fog,trade_dispute,flat,11.211950017330896,15.321350101142315,762.8410024608618
Border A,2022-07-18 23:07:24,0,fog,trade_dispute,mountain,15.680945395151564,32.43463276629239,995.689705124901
Border D,2020-07-31 21:31:46,0,storm,trade_dispute,,9.47497099531222,32.70051449711515,799.2893046387005
Border A,2021-06-20 11:03:34,0,sunny,trade_dispute,forest,21.17120736972067,36.44505880153547,75.18327731707633
Border B,2022-05-08 06:24:39,1,rain,none,flat,34.56882058266032,18.88963427658328,609.9863546131228
Border A,2021-04-23 13:42:47,0,fog,trade_dispute,forest,21.099269892226935,41.13801160263851,182.79238398960862
Border A,2022-07-01 23:02:57,0,rain,trade_dispute,flat,22.77564560889697,8.744795320140193,110.91505300456087
Border C,2022-02-15 22:22:17,0,rain,none,muddy,44.96490872291771,17.280073642152836,341.71968205967175
Border D,2021-11-17 21:33:11,0,clear,sanctions,water_body,43.922508689741804,5.781608199065666,606.7896800318991
Border B,2021-12-04 10:31:04,1,rain,none,flat,12.97753043914403,9.909074032881207,907.4024265264052
Border B,2022-01-26 11:43:32,0,clear,sanctions,mountain,32.22361261610651,11.04379748748835,963.3990805594483
Border C,2020-08-08 01:34:12,0,clear,sanctions,forest,42.313144620401815,41.58595368297063,497.83774861344125
Border B,2022-07-17 23:16:19,0,storm,conflict,mountain,49.27604170567051,5.553656346114613,801.4704204667058
Border D,2022-12-16 03:23:58,1,,none,flat,45.600758417575236,36.692518087432624,249.9524167821117
Border D,2020-02-21 10:59:23,1,fog,none,flat,20.92286759676974,12.727889174486664,64.25371635036264
Border A,2020-08-22 03:45:00,0,rain,none,water_body,32.10840504162938,16.357211778837755,933.0624507585477
Border A,2020-03-05 04:37:23,1,fog,trade_dispute,muddy,43.64116346768185,25.553873996676984,22.28658090834876
